Time,Car1,Car2,Car3,Car4,Ped1,Ped2,Ped3,Ped4,Right1,Right2,Right3,Right4,
0,green,red,green,red,red,red,red,red,red,red,red,red,
1,green,red,green,red,red,green,red,green,red,red,red,red,
2.000328,green,red,green,red,red,green,red,green,red,red,red,red,
3.000642,green,red,green,red,red,red,red,red,right,red,right,red,
4.002169,green,red,green,red,red,red,red,red,yellow,red,yellow,red,
5.003244,yellow,red,yellow,red,red,red,red,red,red,red,red,red,
6.0044,red+left,red,red+left,red,red,red,red,red,red,red,red,red,
7.004576,red+yellow,red,red+yellow,red,red,red,red,red,red,red,red,red,
8.005464,red,green,red,green,green,red,green,red,red,red,red,red,
9.005745,red,green,red,green,green,red,green,red,red,red,red,red,
10.0065,red,green,red,green,green,red,green,red,red,red,red,red,
11.00799,red,green,red,green,red,red,red,red,red,right,red,right,
12.00908,red,green,red,green,red,red,red,red,red,yellow,red,yellow,
13.01035,red,yellow,red,yellow,red,red,red,red,red,red,red,red,
14.01149,red,red+left,red,red+left,red,red,red,red,red,red,red,red,
15.01297,red,red+yellow,red,red+yellow,red,red,red,red,red,red,red,red,
16.01303,green,red,green,red,red,green,red,green,red,red,red,red,
17.01408,green,red,green,red,red,green,red,green,red,red,red,red,
18.01436,green,red,green,red,red,green,red,green,red,red,red,red,
19.01612,green,red,green,red,red,red,red,red,right,red,right,red,
20.01663,green,red,green,red,red,red,red,red,yellow,red,yellow,red,
21.01829,yellow,red,yellow,red,red,red,red,red,red,red,red,red,
22.01871,red+left,red,red+left,red,red,red,red,red,red,red,red,red,
23.01991,red+yellow,red,red+yellow,red,red,red,red,red,red,red,red,red,
24.02109,red,green,red,green,green,red,green,red,red,red,red,red,
25.02144,red,green,red,green,green,red,green,red,red,red,red,red,
26.02157,red,green,red,green,green,red,green,red,red,red,red,red,
27.02208,red,green,red,green,red,red,red,red,red,right,red,right,
28.02335,red,green,red,green,red,red,red,red,red,yellow,red,yellow,
29.02457,red,yellow,red,yellow,red,red,red,red,red,red,red,red,
